"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
1.05, 0.769154023, -1.6446465, -1.6446465, -9.81, 0.1
1.05, 0.769154023, -1.6446465, -1.6446465, -9.81, 0.1
1.06, 0.752266108, -1.7427465, -1.7427465, -9.81, 0.1
1.06, 0.752266108, -1.7427465, -1.7427465, -9.81, 0.1
1.07, 0.734397193, -1.8408465, -1.8408465, -9.81, 0.1
1.07, 0.734397193, -1.8408465, -1.8408465, -9.81, 0.1
1.08, 0.715547278, -1.9389465, -1.9389465, -9.81, 0.1
1.08, 0.715547278, -1.9389465, -1.9389465, -9.81, 0.1
1.09, 0.695716363, -2.0370465, -2.0370465, -9.81, 0.1
1.09, 0.695716363, -2.0370465, -2.0370465, -9.81, 0.1
1.1, 0.674904448, -2.1351465, -2.1351465, -9.81, 0.1
1.1, 0.674904448, -2.1351465, -2.1351465, -9.81, 0.1
1.11, 0.653111533, -2.2332465, -2.2332465, -9.81, 0.1
1.11, 0.653111533, -2.2332465, -2.2332465, -9.81, 0.1
1.12, 0.630337618, -2.3313465, -2.3313465, -9.81, 0.1
1.12, 0.630337618, -2.3313465, -2.3313465, -9.81, 0.1
1.13, 0.606582703, -2.4294465, -2.4294465, -9.81, 0.1
1.13, 0.606582703, -2.4294465, -2.4294465, -9.81, 0.1
1.14, 0.581846788, -2.5275465, -2.5275465, -9.81, 0.1
1.14, 0.581846788, -2.5275465, -2.5275465, -9.81, 0.1
1.15, 0.556129873, -2.6256465, -2.6256465, -9.81, 0.1
1.15, 0.556129873, -2.6256465, -2.6256465, -9.81, 0.1
1.16, 0.529431958, -2.7237465, -2.7237465, -9.81, 0.1
1.16, 0.529431958, -2.7237465, -2.7237465, -9.81, 0.1
1.17, 0.501753043, -2.8218465, -2.8218465, -9.81, 0.1
1.17, 0.501753043, -2.8218465, -2.8218465, -9.81, 0.1
1.18, 0.473093128, -2.9199465, -2.9199465, -9.81, 0.1
1.18, 0.473093128, -2.9199465, -2.9199465, -9.81, 0.1
1.19, 0.443452213, -3.0180465, -3.0180465, -9.81, 0.1
1.19, 0.443452213, -3.0180465, -3.0180465, -9.81, 0.1
1.2, 0.412830298, -3.1161465, -3.1161465, -9.81, 0.1
1.2, 0.412830298, -3.1161465, -3.1161465, -9.81, 0.1
1.21, 0.381227383, -3.2142465, -3.2142465, -9.81, 0.1
1.21, 0.381227383, -3.2142465, -3.2142465, -9.81, 0.1
1.22, 0.348643468, -3.3123465, -3.3123465, -9.81, 0.1
1.22, 0.348643468, -3.3123465, -3.3123465, -9.81, 0.1
